Year,Site,FID,Weight,Length,AC,AGE,SexCon,Sex,Delts
2014,15,NA,1787,483,3,NA,NA,NA,NA
2015,4,NA,1,27,1,NA,NA,NA,NA
2015,18,NA,1,46,1,NA,NA,NA,NA
2015,8,NA,56.7,126,3,NA,NA,NA,NA
2015,8,NA,56.7,128,3,NA,NA,NA,NA
2015,8,NA,56.7,146,3,NA,NA,NA,NA
2015,8,NA,113.4,147,3,NA,NA,NA,NA
2015,8,NA,56.7,147,3,NA,NA,NA,NA
2015,8,NA,113.4,158,3,NA,NA,NA,NA
2015,6,NA,56.7,162,3,NA,NA,NA,NA
2015,8,NA,113.4,170,3,NA,NA,NA,NA
2015,6,NA,113.4,182,3,NA,NA,NA,NA
2015,2,NA,113.4,185,3,NA,NA,NA,NA
2015,8,NA,113.4,196,3,NA,NA,NA,NA
2015,2,NA,113.4,202,3,NA,NA,NA,NA
2015,2,NA,170.1,213,3,NA,NA,NA,NA
2015,6,NA,170.1,216,3,NA,NA,NA,NA
2015,2,NA,170.1,232,3,NA,NA,NA,NA
2015,2,NA,226.8,234,3,NA,NA,NA,NA
2015,8,NA,283.5,253,3,NA,NA,NA,NA
2015,8,NA,283.5,256,3,NA,NA,NA,NA
2015,8,NA,340.2,275,3,NA,NA,NA,NA
2015,11,NA,340.2,276,3,NA,NA,NA,NA
2015,8,NA,340.2,277,3,NA,NA,NA,NA
2015,8,NA,453.6,280,3,NA,NA,NA,NA
2015,8,NA,453.6,288,3,NA,NA,NA,NA
2015,6,NA,396.9,291,3,NA,NA,NA,NA
2015,8,NA,453.6,298,3,NA,NA,NA,NA
2015,8,NA,510.3,304,3,NA,NA,NA,NA
2015,11,NA,453.6,305,3,NA,NA,NA,NA
2015,8,NA,510.3,307,3,NA,NA,NA,NA
2015,8,NA,510.3,311,3,NA,NA,NA,NA
2015,18,NA,453.6,313,3,NA,NA,NA,NA
2015,18,NA,396.9,315,3,NA,NA,NA,NA
2015,15,NA,567,316,3,NA,NA,NA,NA
2015,15,NA,567,317,3,NA,NA,NA,NA
2015,4,NA,567,320,3,NA,NA,NA,NA
2015,8,NA,567,320,3,NA,NA,NA,NA
2015,18,NA,453.6,320,3,NA,NA,NA,NA
2015,8,NA,453.6,321,3,NA,NA,NA,NA
2015,11,NA,567,322,3,NA,NA,NA,NA
2015,8,NA,623.7,326,3,NA,NA,NA,NA
2015,8,NA,453.6,328,3,NA,NA,NA,NA
2015,15,NA,567,329,3,NA,NA,NA,NA
2015,4,NA,680.4,330,3,NA,NA,NA,NA
2015,18,NA,567,330,3,NA,NA,NA,NA
2015,8,NA,567,331,3,NA,NA,NA,NA
2015,15,NA,680.4,331,3,NA,NA,NA,NA
2015,15,NA,567,335,3,NA,NA,NA,NA
2015,18,NA,595.35,340,3,NA,NA,NA,NA
2015,15,NA,680.4,343,3,NA,NA,NA,NA
2015,15,NA,623.7,343,3,NA,NA,NA,NA
2015,18,NA,567,343,3,NA,NA,NA,NA
2015,8,NA,680.4,349,3,NA,NA,NA,NA
2015,11,NA,680.4,350,3,NA,NA,NA,NA
2015,8,NA,737.1,351,3,NA,NA,NA,NA
2015,11,NA,680.4,351,3,NA,NA,NA,NA
2015,8,NA,680.4,363,3,NA,NA,NA,NA
2015,11,NA,737.1,364,3,NA,NA,NA,NA
2015,15,NA,680.4,364,3,NA,NA,NA,NA
2015,15,NA,737.1,367,3,NA,NA,NA,NA
2015,4,NA,963.9,370,3,NA,NA,NA,NA
2015,18,NA,793.8,370,3,NA,NA,NA,NA
2015,5,NA,680.4,371,3,NA,NA,NA,NA
2015,12,NA,793.8,373,3,NA,NA,NA,NA
2015,18,NA,680.4,378,3,NA,NA,NA,NA
2015,6,NA,1020.6,384,3,NA,NA,NA,NA
2015,11,NA,907.2,385,3,NA,NA,NA,NA
2015,4,NA,737.1,390,3,NA,NA,NA,NA
2015,11,NA,1020.6,393,3,NA,NA,NA,NA
2015,8,NA,963.9,394,3,NA,NA,NA,NA
2015,18,NA,793.8,395,3,NA,NA,NA,NA
2015,15,NA,793.8,396,3,NA,NA,NA,NA
2015,18,NA,907.2,405,3,NA,NA,NA,NA
2015,12,NA,1134,407,3,NA,NA,NA,NA
2015,4,NA,1020.6,410,3,NA,NA,NA,NA
2015,15,NA,1134,412,3,NA,NA,NA,NA
2015,11,NA,1190.7,421,3,NA,NA,NA,NA
2015,12,NA,1134,427,3,NA,NA,NA,NA
2015,18,NA,1247.4,450,3,NA,NA,NA,NA
2015,18,NA,1247.4,465,3,NA,NA,NA,NA
2016,8,87,26,118,3,1,1,1,NA
2016,8,88,27,123,3,1,6,2,NA
2016,8,86,34,132,3,1,1,1,NA
2016,18,27,36,133,3,1,6,2,NA
2016,8,85,40,135,3,1,6,2,NA
2016,8,89,38,136,3,1,0,0,NA
2016,8,83,42,143,3,1,6,2,NA
2016,8,82,48,146,3,1,1,1,NA
2016,8,69,54,154,3,1,6,2,NA
2016,8,84,57,154,3,1,6,2,NA
2016,8,80,69,165,3,1,6,2,NA
2016,8,81,74,166,3,NA,1,1,NA
2016,8,79,71,169,3,NA,6,2,NA
2016,8,74,76,172,3,1,6,2,NA
2016,8,75,83,174,3,1,6,2,NA
2016,8,76,85,174,3,1,6,2,NA
2016,4,110,98,177,3,1,1,1,NA
2016,8,78,94,182,3,1,6,2,NA
2016,8,77,95,183,3,1,6,2,NA
2016,6,121,88,183,3,1,6,2,NA
2016,8,72,102,189,3,1,1,1,NA
2016,18,28,125,193,3,NA,6,2,NA
2016,8,73,108,194,3,1,6,2,NA
2016,18,7,118,195,3,1,8,2,NA
2016,15,124,136,202,3,NA,1,1,NA
2016,18,35,128,207,3,1,1,1,NA
2016,18,16,171,214,3,1,6,2,NA
2016,18,29,166,217,3,1,6,2,NA
2016,8,71,172,219,3,2,8,2,NA
2016,4,104,175,220,3,2,1,1,NA
2016,8,70,171,222,3,1,6,2,NA
2016,18,39,189,223,3,1,1,1,NA
2016,18,15,193,228,3,1,8,2,NA
2016,2,96,206,231,3,1,6,2,NA
2016,18,34,206,236,3,1,8,2,NA
2016,6,119,119,236,3,2,8,2,NA
2016,14,122,251,236,3,1,8,2,NA
2016,8,65,238,245,3,2,8,2,NA
2016,4,107,248,245,3,2,8,2,NA
2016,8,63,246,248,3,2,8,2,NA
2016,8,66,231,249,3,2,3,1,NA
2016,8,58,213,254,3,2,3,1,NA
2016,8,67,308,254,3,2,3,1,NA
2016,4,106,270,254,3,2,1,1,NA
2016,8,64,250,256,3,2,8,2,NA
2016,2,91,281,256,3,2,6,2,NA
2016,6,120,227,259,3,2,8,2,NA
2016,8,56,259,260,3,2,8,2,NA
2016,8,68,306,261,3,2,8,2,NA
2016,15,131,282,261,3,2,3,1,NA
2016,8,62,269,265,3,2,8,2,NA
2016,4,111,328,265,3,2,3,1,NA
2016,15,130,305,266,3,2,8,2,NA
2016,4,112,331,269,3,2,3,1,NA
2016,15,126,303,269,3,2,3,1,NA
2016,2,98,361,275,3,2,3,1,NA
2016,2,115,330,275,3,2,8,2,NA
2016,18,33,333,276,3,2,1,1,NA
2016,8,57,327,276,3,2,8,2,NA
2016,8,53,328,277,3,2,8,2,NA
2016,2,100,395,279,3,2,8,2,NA
2016,6,117,321,279,3,2,3,1,NA
2016,15,127,348,283,3,2,8,2,NA
2016,8,54,409,288,3,2,3,1,NA
2016,14,123,437,288,3,2,8,2,NA
2016,18,8,479,289,3,2,3,1,NA
2016,2,99,409,289,3,2,8,2,NA
2016,2,102,375,289,3,2,3,1,NA
2016,4,108,426,289,3,2,8,2,NA
2016,2,95,399,290,3,2,8,2,NA
2016,11,2,415,292,3,4,3,1,NA
2016,18,14,466,293,3,2,3,1,NA
2016,8,52,481,294,3,3,3,1,NA
2016,15,125,440,296,3,2,8,2,NA
2016,2,97,429,298,3,2,8,2,NA
2016,18,23,473,299,3,2,8,2,NA
2016,2,92,416,304,3,2,8,2,NA
2016,2,114,253,307,3,2,3,1,NA
2016,2,101,510,310,3,2,8,2,NA
2016,18,43,516,313,3,3,8,2,NA
2016,18,45,596,314,3,2,8,2,NA
2016,18,18,500,315,3,3,3,1,NA
2016,18,36,454,315,3,3,3,1,NA
2016,18,46,603,316,3,2,8,2,NA
2016,2,90,581,316,3,2,8,2,NA
2016,18,17,482,317,3,3,3,1,NA
2016,18,25,590,318,3,2,3,1,NA
2016,8,61,591,319,3,3,8,2,NA
2016,18,19,522,323,3,2,8,2,NA
2016,6,118,496,324,3,3,3,1,NA
2016,10,47,598,330,3,5,3,1,NA
2016,4,103,675,336,3,4,3,1,NA
2016,4,113,600,336,3,4,3,1,NA
2016,8,60,666,338,3,4,8,2,NA
2016,18,30,612,339,3,4,3,1,NA
2016,18,32,861,343,3,3,8,2,NA
2016,8,51,630,344,3,5,3,1,NA
2016,2,94,688,344,3,4,3,1,NA
2016,11,1,658,347,3,4,8,2,NA
2016,11,3,557,348,3,4,3,1,NA
2016,8,50,721,351,3,5,3,1,NA
2016,18,31,742,353,3,4,8,2,NA
2016,8,59,780,354,3,5,3,1,NA
2016,18,6,719,355,3,NA,8,2,NA
2016,4,109,768,358,3,5,8,2,NA
2016,6,116,744,358,3,5,3,1,NA
2016,10,48,840,359,3,4,8,2,NA
2016,2,93,681,360,3,4,3,1,NA
2016,18,21,774,361,3,4,8,2,NA
2016,18,38,735,361,3,4,8,2,NA
2016,8,49,767,362,3,7,3,1,NA
2016,15,129,739,362,3,4,3,1,NA
2016,18,41,788,369,3,4,3,1,NA
2016,18,42,681,369,3,4,3,1,NA
2016,18,44,873,370,3,4,3,1,NA
2016,4,105,934,373,3,4,8,2,NA
2016,12,4,669,374,3,6,8,2,NA
2016,18,20,909,374,3,4,8,2,NA
2016,18,5,716,375,3,4,3,1,NA
2016,15,128,859,376,3,5,3,1,NA
2016,18,12,979,380,3,5,3,1,NA
2016,18,13,950,380,3,5,3,1,NA
2016,18,22,811,385,3,4,3,1,NA
2016,18,26,901,386,3,7,3,1,NA
2016,18,9,986,388,3,4,3,1,NA
2016,15972,132,971,395,3,7,3,1,NA
2016,18,40,1066,398,3,4,3,1,NA
2016,18,37,1003,403,3,5,8,2,NA
2016,18,11,1131,409,3,4,8,2,NA
2016,18,10,1258,423,3,8,8,2,NA
2016,18,24,1312,431,3,6,8,2,NA
