Month,Day,Year,FID,Site,Species,AC,AgeCap,Anu1,Anu2,Anu3,Anu4,Anu5,Anu6,Anu7,Anu8,Anu9,RadCap,LenCap,WTg,SEXCON,Sex,Prey Item,Tot Prey WTg,Prey Item B,Prey WT Ag,Prey WT Bg,Comments
6,30,2016,87,8,317,3,1,0.4318,0.5022,NA,NA,NA,NA,NA,NA,NA,0.5022,118,26,1,1,999,0.5,0,0,0,
6,30,2016,88,8,317,3,1,0.4436,0.5711,NA,NA,NA,NA,NA,NA,NA,0.5711,123,27,6,2,999,0,0,0,0,
6,30,2016,89,8,317,3,1,0.3983,0.4328,NA,NA,NA,NA,NA,NA,NA,0.4328,136,38,0,0,0,0,0,0,0,
7,5,2016,90,2,317,3,2,0.4963,0.7083,0.7336,NA,NA,NA,NA,NA,NA,0.7336,316,581,8,2,366,17,0,0,0,
7,5,2016,91,2,317,3,2,0.3341,0.5539,0.6179,NA,NA,NA,NA,NA,NA,0.6179,256,281,6,2,999,1.5,0,0,0,
7,5,2016,92,2,317,3,2,0.3973,0.6072,0.6386,NA,NA,NA,NA,NA,NA,0.6386,304,416,8,2,0,0,0,0,0,
7,5,2016,93,2,317,3,4,0.4504,0.6688,0.7982,0.8853,0.9046,NA,NA,NA,NA,0.9046,360,681,3,1,0,0,0,0,0,
7,5,2016,94,2,317,3,4,0.4644,0.6052,0.7129,0.8009,0.8265,NA,NA,NA,NA,0.8265,344,688,3,1,366,14.5,0,0,0,
7,5,2016,95,2,317,3,2,0.3994,0.5602,0.6139,NA,NA,NA,NA,NA,NA,0.6139,290,399,8,2,0,0,0,0,0,
7,5,2016,96,2,317,3,1,0.4491,0.5468,NA,NA,NA,NA,NA,NA,NA,0.5468,231,206,6,2,999,0.5,0,0,0,
7,5,2016,97,2,317,3,2,0.492,0.7852,0.823,NA,NA,NA,NA,NA,NA,0.823,298,429,8,2,999,0,0,0,0,
7,5,2016,98,2,317,3,2,0.3397,0.5603,0.6144,NA,NA,NA,NA,NA,NA,0.6144,275,361,3,1,999,3,0,0,0,
7,5,2016,99,2,317,3,2,0.3785,0.601,0.6664,NA,NA,NA,NA,NA,NA,0.6664,289,409,8,2,196,3.5,0,0,0,
7,5,2016,100,2,317,3,2,0.5602,0.7884,0.8248,NA,NA,NA,NA,NA,NA,0.8248,279,395,8,2,999,0,0,0,0,
7,5,2016,101,2,317,3,2,0.4035,0.6077,0.6396,NA,NA,NA,NA,NA,NA,0.6396,310,510,8,2,999,4.5,0,0,0,
7,5,2016,102,2,317,3,2,0.4207,0.6114,0.6616,NA,NA,NA,NA,NA,NA,0.6616,289,375,3,1,196,0.5,0,0,0,
7,5,2016,103,4,317,3,4,0.4303,0.6,0.7572,0.8979,0.9194,NA,NA,NA,NA,0.9194,336,675,3,1,366,31,0,0,0,
7,5,2016,104,4,317,3,2,0.4061,0.5852,0.6501,NA,NA,NA,NA,NA,NA,0.6501,220,175,1,1,366,4,0,0,0,* Questionable Maturity
7,5,2016,105,4,317,3,4,0.5281,0.6495,0.7479,0.8335,0.8706,NA,NA,NA,NA,0.8706,373,934,8,2,999,1.5,0,0,0,
7,5,2016,106,4,317,3,2,0.4506,0.7155,0.7299,NA,NA,NA,NA,NA,NA,0.7299,254,270,1,1,366,8,0,0,0,* Questionable Maturity
7,5,2016,107,4,317,3,2,0.5218,0.6852,0.7249,NA,NA,NA,NA,NA,NA,0.7249,245,248,8,2,366,6.5,0,0,0,
7,5,2016,108,4,317,3,2,0.3694,0.5652,0.6234,NA,NA,NA,NA,NA,NA,0.6234,289,426,8,2,366,19.5,0,0,0,
7,5,2016,109,4,317,3,5,0.3756,0.5881,0.7138,0.8103,0.8909,0.921,NA,NA,NA,0.921,358,768,8,2,366,14.5,0,0,0,
7,5,2016,110,4,317,3,1,0.3752,0.4386,NA,NA,NA,NA,NA,NA,NA,0.4386,177,98,1,1,999,0,0,0,0,
7,5,2016,111,4,317,3,2,0.5193,0.7456,0.8115,NA,NA,NA,NA,NA,NA,0.8115,265,328,3,1,366,14,Mussel,13.5,0,
7,5,2016,112,4,317,3,2,0.4285,0.6215,0.6625,NA,NA,NA,NA,NA,NA,0.6625,269,331,3,1,366,10,0,0,0,
7,5,2016,113,4,317,3,4,0.45,0.6654,0.8035,0.8719,0.9114,NA,NA,NA,NA,0.9114,336,600,3,1,366,30,0,0,0,
7,5,2016,114,2,317,3,2,0.617,0.8782,0.9192,NA,NA,NA,NA,NA,NA,0.9192,307,253,3,1,366,12.5,63,10,2.5,
7,5,2016,115,2,317,3,2,0.4192,0.632,0.6814,NA,NA,NA,NA,NA,NA,0.6814,275,330,8,2,999,2,0,0,0,
7,5,2016,116,6,317,3,5,0.4926,0.7723,0.9196,1.0478,1.134,1.1649,NA,NA,NA,1.1649,358,744,3,1,0,0,0,0,0,
7,5,2016,117,6,317,3,2,0.5013,0.687,0.7378,NA,NA,NA,NA,NA,NA,0.7378,279,321,3,1,999,1,0,0,0,
7,5,2016,118,6,317,3,3,0.5743,0.7966,0.9743,1.0115,NA,NA,NA,NA,NA,1.0115,324,496,3,1,999,0,0,0,0,
7,5,2016,119,6,317,3,2,0.4655,0.6863,0.7614,NA,NA,NA,NA,NA,NA,0.7614,236,119,8,2,999,1,0,0,0,
7,5,2016,120,6,317,3,2,0.5402,0.7253,0.7764,NA,NA,NA,NA,NA,NA,0.7764,259,227,8,2,999,0.5,0,0,0,
7,5,2016,121,6,317,3,1,0.3628,0.4184,NA,NA,NA,NA,NA,NA,NA,0.4184,183,88,6,2,999,0,0,0,0,
7,7,2016,122,14,317,3,1,0.4912,0.6134,NA,NA,NA,NA,NA,NA,NA,0.6134,236,251,8,2,999,1.5,0,0,0,
